Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"2215 Greenlawn Drive, Delaware, OH 43015",40.306370,-83.113481,Seller/Listing,"421,000",05/30/2023,Residential
"4384 Grand Crossing Boulevard 6-4384, Grove City, OH 43123",39.872618,-83.048315,Buyer,"289,900",05/31/2023,Residential
"1971 Beauregard Boulevard, Columbus, OH 43123",39.913902,-83.074582,Seller/Listing,"305,000",05/31/2023,Residential
"1296 Red Bank Drive, Grove City, OH 43123",39.830660,-83.042175,Buyer,"450,000",06/06/2023,Residential
"2614 Staunton Sugar Grove Road, OH 43160",39.475896,-83.477178,Buyer,"274,900",06/12/2023,Residential
"7750 Willowcove Court, Columbus, OH 43016",40.124924,-83.085020,Buyer,"218,000",06/16/2023,Residential
"7395 Summerfield Drive, OH 43035",40.175206,-82.995051,Seller/Listing,"485,000",06/21/2023,Residential
"60 Savern Place, Gahanna, OH 43230",40.017404,-82.861075,Buyer,"385,000",07/03/2023,Residential
"410 Woodside Meadows Place, Gahanna, OH 43230",40.043023,-82.890173,Seller/Listing,"425,000",07/13/2023,Residential
"1347 Kellerman Court, Columbus, OH 43228",39.980551,-83.126143,Buyer,"408,500",07/31/2023,Residential
"1272 Elmwood Avenue, Grandview Heights, OH 43212",39.982474,-83.051592,Buyer,"540,000",08/15/2023,Residential
"723 Parkgrove Way, Columbus, OH 43035",40.150881,-83.000295,Seller/Listing,"253,000",08/18/2023,Residential
"2481 Hotchkiss Street, Columbus, OH 43123",39.901633,-83.116568,Seller/Listing,"284,500",08/23/2023,Residential
"6496 Highlands Court, OH 43015",40.214407,-83.130549,Seller/Listing,"605,000",08/23/2023,Residential
"8567 Renford Court, Columbus, OH 43065",40.132058,-83.068820,Buyer,"320,000",08/25/2023,Residential
"1108 Geneva Avenue, OH 43223",39.935320,-83.047856,Seller/Listing,"50,000",08/27/2023,Residential
